source_term,target_term,wrong_outputs,trigger_terms,domain,note
developer,开发商,开发者;比利时的工业者;比利时工业者,industrial developer;industrial developers;developer;developers,industrial/business,地产或园区开发商语境
land reclamation,填海造地,从海上填海造地;从海洋中收回土地;收回土地;开垦土地,land reclamation;reclaiming land;reclaim land,civil engineering,
landfilling materials,回填材料,填埋材料;土地填充材料,landfilling materials;backfill materials,civil engineering,
industrial zone,工业园区,工业区,industrial zone;industrial zones;industrial park;industrial parks,industrial/business,
GDP growth,GDP增长,国内生产总值增长,GDP growth,economics,
commissioning,调试,委托;佣金,commissioning;commissioning plan;commissioning protocol,engineering,工程投运前调试语境
qualification,确认,资格;资质,qualification;IQ;OQ;PQ,validation,验证体系中的确认
validation,验证,确认,validation;validation master plan;VMP,validation,制药工程验证语境
cleanroom,洁净室,干净房间;清洁房间,cleanroom;clean room,pharma,
HVAC,暖通空调,供暖通风与空调;暖通,HVAC;air handling unit;AHU,MEP,
AHU,空气处理机组,空气处理单元,AHU;air handling unit,MEP,
BMS,楼宇管理系统,建筑管理系统,BMS;building management system,automation,
EMS,环境监测系统,企业管理系统,EMS;environmental monitoring system,pharma,
WFI,注射用水,注射水,WFI;water for injection,pharma,
PW,纯化水,密码;功率,PW;purified water,pharma,
CIP,在线清洗,原位清洗,CIP;clean in place,pharma/process,
SIP,在线灭菌,原位灭菌,SIP;sterilize in place;steam in place,pharma/process,
FAT,工厂验收测试,脂肪,FAT;factory acceptance test,project,
SAT,现场验收测试,坐着;星期六,SAT;site acceptance test,project,
URS,用户需求说明,用户需求规格,URS;user requirement specification,project,
GMP,药品生产质量管理规范,良好生产规范,GMP;good manufacturing practice,pharma,
P&ID,管道和仪表流程图,PID;管道仪表图,P&ID;piping and instrumentation diagram,process,
HAZOP,危险与可操作性分析,危险操作分析,HAZOP;hazard and operability study,process safety,
HAZOP action,HAZOP措施项,HAZOP行动;危险操作分析行动,HAZOP action;HAZOP actions,process safety,
MEP,机电工程,欧洲议会议员,MEP;mechanical electrical plumbing,MEP,
BIM,建筑信息模型,建筑资讯模型,BIM;building information modeling,BIM,
CQV,调试确认与验证,调试质量验证,CQV;commissioning qualification validation,validation,
DQ,设计确认,设计资质,DQ;design qualification,validation,
IQ,安装确认,智商,IQ;installation qualification,validation,
OQ,运行确认,OQ,OQ;operational qualification,validation,
PQ,性能确认,PQ,PQ;performance qualification,validation,
VMP,验证主计划,虚拟机,VMP;validation master plan,validation,
SOP,标准操作规程,标准操作程序,SOP;standard operating procedure,quality,
CAPA,纠正和预防措施,帽子,CAPA;corrective and preventive action,quality,
deviation,偏差,偏离,deviation;deviation report,quality,
change control,变更控制,改变控制,change control,quality,
HEPA,高效过滤器,海帕,HEPA;high efficiency particulate air,cleanroom/HVAC,
VHP,汽化过氧化氢,过氧化氢蒸汽,VHP;vaporized hydrogen peroxide,cleanroom,
differential pressure,压差,差压,differential pressure;pressure cascade,cleanroom/HVAC,
air change rate,换气次数,空气变化率,air change rate;air changes per hour;ACH,cleanroom/HVAC,
temperature and humidity,温湿度,温度和湿度,temperature and humidity;T&H,cleanroom/HVAC,
pass box,传递窗,通过盒,pass box;pass-through box,cleanroom,
material airlock,物料气闸,材料气锁,material airlock;MAL,cleanroom,
personnel airlock,人员气闸,人员气锁,personnel airlock;PAL,cleanroom,
clean utility,洁净公用工程,清洁公用设施,clean utility;clean utilities,pharma/utilities,
black utility,非洁净公用工程,黑色公用设施,black utility;black utilities,pharma/utilities,
clean steam,洁净蒸汽,清洁蒸汽,clean steam,pharma/utilities,
distribution loop,分配环路,分布循环,distribution loop;water loop,pharma/utilities,
point of use,使用点,用点,point of use;POU,pharma/utilities,
passivation,钝化,被动化,passivation,pharma/utilities,
orbital welding,自动轨道焊,轨道焊接,orbital welding,piping,
dead leg,死角管段,死腿,dead leg,piping,
drainability,可排净性,排水能力,drainability;self-draining,piping,
slope,坡度,斜率,slope;piping slope,piping,
punch list,遗留问题清单,打孔列表,punch list,project,
as-built drawing,竣工图,按建图,as-built drawing;as-built drawings;as built;as-built,project,
redline drawing,红线图,红色线图,redline drawing;redline drawings;red-line drawing;red-line drawings,project,
semiconductor fab,半导体晶圆厂,半导体工厂;芯片工厂,semiconductor fab;semiconductor fabrication plant;chip fab;wafer fab;fab,semiconductor,芯片制造厂房语境
wafer,晶圆,薄片;晶片,wafer;wafers,semiconductor,
wafer fab,晶圆厂,晶圆工厂;晶圆制造厂,wafer fab;wafer fabrication plant,semiconductor,
foundry,晶圆代工厂,铸造厂,foundry;semiconductor foundry,semiconductor,
front end of line,前道工艺,前端线路;前线工艺,front end of line;FEOL,semiconductor,
back end of line,后道工艺,后端线路;后线工艺,back end of line;BEOL,semiconductor,
lithography,光刻,平版印刷;litho,lithography;litho;photolithography,semiconductor,
photoresist,光刻胶,光致抗蚀剂;照片抗蚀剂,photoresist;photo resist;PR,semiconductor/chemical,
stepper,步进式光刻机,步进器,stepper;lithography stepper,semiconductor/equipment,
scanner,扫描式光刻机,扫描仪,scanner;lithography scanner,semiconductor/equipment,
etching,刻蚀,蚀刻,etching;etch process;dry etch;wet etch,semiconductor,
deposition,沉积,存款;部署,deposition;thin film deposition,semiconductor,
CVD,化学气相沉积,CVD,CVD;chemical vapor deposition,semiconductor,
PVD,物理气相沉积,PVD,PVD;physical vapor deposition,semiconductor,
CMP,化学机械抛光,CMP,CMP;chemical mechanical polishing,semiconductor,
implantation,离子注入,植入,implantation;ion implantation,semiconductor,
annealing,退火,退火处理,annealing;thermal annealing,semiconductor,
metrology,量测,计量学,metrology;inspection and metrology,semiconductor,
yield,良率,产量,yield;wafer yield;process yield,semiconductor,
defect density,缺陷密度,缺陷浓度,defect density;defect rate,semiconductor,
critical dimension,关键尺寸,临界尺寸,critical dimension;CD,semiconductor,
clean dry air,洁净干燥空气,清洁干空气,CDA;clean dry air,semiconductor/utilities,
CDA,洁净干燥空气,CDA,CDA;clean dry air,semiconductor/utilities,
UPW,超纯水,向上;上水,UPW;ultrapure water;ultra pure water,semiconductor/utilities,
PCW,工艺冷却水,个人电脑水,PCW;process cooling water,semiconductor/utilities,
process vacuum,工艺真空,过程真空,process vacuum;PV,semiconductor/utilities,
bulk gas,大宗气体,散装气体,bulk gas;bulk gases,semiconductor/utilities,
specialty gas,特气,特殊气体,specialty gas;specialty gases;special gas,semiconductor/utilities,
process exhaust,工艺排风,过程排气,process exhaust;tool exhaust,semiconductor/exhaust,
acid exhaust,酸性排风,酸排气,acid exhaust,semiconductor/exhaust,
alkaline exhaust,碱性排风,碱排气;碱性排气,alkaline exhaust;base exhaust,semiconductor/exhaust,
